ID,Delivery_person_ID,Order_Date,Time_Orderd,Road_traffic_density,Type_of_order
0x8968,BANGRES18DEL02,17-03-2022,11:25,0,3
0xa39a,MUMRES06DEL01,11/3/2022,15:20,3,3
0x8826,RANCHIRES04DEL02,1/3/2022,11:35,0,2
0x4c8c,MYSRES04DEL01,29-03-2022,22:50,2,0
0x103c,SURRES19DEL03,6/3/2022,21:25,1,0
0x98a8,MYSRES17DEL02,3/4/2022,8:10,2,1
0xb338,PUNERES14DEL03,5/4/2022,0.916666667,1,0
0x366d,BANGRES05DEL03,5/3/2022,18:40,3,1
0x7d75,CHENRES13DEL02,24-03-2022,18:35,3,1
0x6d30,SURRES16DEL03,25-03-2022,19:25,1,1
0x9ee3,INDORES14DEL01,18-03-2022,1,2,1
0x4d82,JAPRES010DEL01,16-03-2022,22:50,2,2
0xb757,PUNERES04DEL01,5/4/2022,16:35,3,3
0x2e53,COIMBRES09DEL01,5/4/2022,10:15,2,2
0xd686,ALHRES11DEL03,14-02-2022,17:25,3,1
0x828d,MYSRES13DEL01,19-03-2022,10:45,2,0
0xb9f5,MYSRES17DEL02,27-03-2022,0.958333333,2,1
0x73c4,VADRES07DEL02,21-03-2022,20:25,1,1
0xd427,AGRRES07DEL02,13-02-2022,19:20,1,2
0x7030,RANCHIRES03DEL03,2/4/2022,19:10,1,1
0xc500,AGRRES08DEL02,17-02-2022,10:40,2,2
0xd0f4,LUDHRES01DEL02,13-02-2022,10:15,2,3
0x6e8c,INDORES010DEL02,30-03-2022,21:25,1,0
0xa1ee,JAPRES20DEL02,19-03-2022,9:55,2,0
0x4720,PUNERES07DEL02,10/3/2022,0.958333333,2,0
0x5691,VADRES05DEL01,8/3/2022,0.791666667,3,0
0xb8f1,MUMRES02DEL03,11/3/2022,18:50,3,0
0xc790,GOARES010DEL02,16-02-2022,21:10,1,3
0x3234,INDORES05DEL01,2/3/2022,19:35,1,0
0xb2be,RANCHIRES05DEL02,4/3/2022,22:40,2,1
0x7f50,COIMBRES010DEL03,13-03-2022,17:10,3,0
0x6fd1,JAPRES20DEL01,2/3/2022,22:25,2,2
0x5a8b,SURRES010DEL02,11/3/2022,11:30,0,2
0x714d,MYSRES09DEL02,19-03-2022,10:25,2,1
0x4bff,VADRES15DEL03,5/4/2022,1,2,1
0x9925,RANCHIRES09DEL03,31-03-2022,22:50,2,0
0x6fd6,CHENRES17DEL01,16-03-2022,18:25,3,1
0x2872,BANGRES04DEL01,23-03-2022,21:55,1,0
0x90f7,PUNERES010DEL03,26-03-2022,21:20,1,1
0x2a29,VADRES05DEL02,2/4/2022,0.875,1,0
0x7eb3,JAPRES17DEL03,5/3/2022,21:55,1,3
0x6d17,JAPRES13DEL03,21-03-2022,19:20,1,1
0x7134,RANCHIRES01DEL02,20-03-2022,18:25,3,1
0xa4f0,BANGRES05DEL02,4/3/2022,19:40,1,3
0x213f,VADRES14DEL03,5/4/2022,23:25,2,0
0x70e8,BANGRES04DEL01,2/3/2022,17:15,3,2
0x8556,BANGRES08DEL03,11/3/2022,21:15,1,1
0xaae6,MYSRES20DEL01,9/3/2022,14:50,0,2
0x9724,PUNERES010DEL02,12/3/2022,20:50,1,0
0x6208,MYSRES14DEL01,1/4/2022,15:10,3,2
0x5164,HYDRES14DEL02,4/4/2022,21:30,1,3
0xa70e,INDORES06DEL03,26-03-2022,17:10,3,2
0x6afb,MYSRES16DEL01,30-03-2022,13:15,0,3
0xc0f1,LUDHRES19DEL01,18-02-2022,17:40,3,0
0x76e4,VADRES06DEL01,10/3/2022,20:20,1,2
0x3d34,MUMRES04DEL03,26-03-2022,23:40,2,3
0x540c,COIMBRES03DEL01,26-03-2022,8:30,2,2
0x83de,PUNERES11DEL01,4/3/2022,19:50,1,0
0xc950,AURGRES06DEL03,18-02-2022,21:25,1,1
0x63ac,VADRES11DEL02,9/3/2022,8:50,2,1
0x602b,VADRES17DEL02,17-03-2022,19:10,1,3
0x757e,JAPRES01DEL01,8/3/2022,20:20,1,1
0x31a9,COIMBRES03DEL03,10/3/2022,21:40,1,3
0xd9b5,AGRRES02DEL01,17-02-2022,16:45,3,0
0x4175,HYDRES010DEL02,5/4/2022,10:45,2,0
0xd350,ALHRES010DEL01,18-02-2022,21:30,1,1
0x3aa6,SURRES17DEL01,21-03-2022,12:10,0,3
0x2473,BANGRES08DEL03,15-03-2022,17:45,3,3
0xc94a,DEHRES17DEL02,17-02-2022,8:55,2,0
0x986d,SURRES18DEL02,30-03-2022,8:40,2,1
0x4924,JAPRES06DEL02,13-03-2022,8:25,2,0
0x49c7,VADRES06DEL02,3/3/2022,11:45,0,2
0x167f,HYDRES01DEL03,5/4/2022,17:55,3,0
0xfb9,PUNERES04DEL02,18-03-2022,1,2,2
0x9c99,BANGRES08DEL02,9/3/2022,23:10,2,2
0x28f5,JAPRES12DEL02,9/3/2022,19:15,1,1
0xaaf9,CHENRES14DEL02,5/3/2022,9:25,2,2
0x84b5,VADRES14DEL03,9/3/2022,18:55,3,2
0x43fb,RANCHIRES06DEL02,12/3/2022,19:40,1,2
0xc78c,LUDHRES20DEL02,18-02-2022,20:30,1,0
0x9159,MUMRES11DEL01,18-03-2022,18:15,3,0
0x61c2,RANCHIRES18DEL01,5/3/2022,13:40,0,2
0x4fce,RANCHIRES06DEL02,3/4/2022,11:55,0,3
0xcb2d,AURGRES15DEL01,18-02-2022,19:30,1,0
0x7d38,MUMRES11DEL03,13-03-2022,17:50,3,1
0x897f,MUMRES19DEL03,7/3/2022,17:55,3,1
0x77e6,RANCHIRES03DEL02,16-03-2022,21:55,1,3
0xadd8,RANCHIRES02DEL01,30-03-2022,0.625,0,2
0x8ff2,MUMRES09DEL03,14-03-2022,22:40,2,2
0x5d7e,MUMRES13DEL01,21-03-2022,14:25,0,2
0x4722,PUNERES14DEL01,19-03-2022,10:30,2,0
0x9cd8,JAPRES04DEL01,14-03-2022,22:15,2,1
0x1048,VADRES08DEL02,5/4/2022,10:40,2,1
0x9a3a,JAPRES19DEL01,25-03-2022,21:50,1,0
0x4685,PUNERES12DEL01,17-03-2022,8:50,2,1
0xcb42,AURGRES20DEL03,15-02-2022,22:40,2,1
0xb01c,VADRES02DEL02,26-03-2022,17:55,3,0
0x2fee,BANGRES20DEL01,6/4/2022,19:40,1,1
0x2a87,INDORES20DEL02,13-03-2022,8:20,2,3
0x7e10,CHENRES08DEL01,28-03-2022,12:55,0,1
0xb402,PUNERES08DEL01,7/3/2022,11:50,0,2
0x4ccf,MYSRES17DEL03,1/3/2022,0.791666667,3,1
0xab1f,COIMBRES05DEL03,25-03-2022,22:50,2,3
0xd269,AURGRES07DEL03,18-02-2022,22:20,2,2
0x9e50,MYSRES11DEL03,8/3/2022,23:25,2,2
0x1a5f,CHENRES010DEL01,2/4/2022,17:15,3,1
0x9b4,PUNERES07DEL03,1/4/2022,20:25,1,3
0x2e4d,BANGRES17DEL03,12/3/2022,0.916666667,1,0
0x9fd9,PUNERES18DEL03,14-03-2022,20:35,1,2
0xd79,JAPRES06DEL02,9/3/2022,9:25,2,1
0x709c,MYSRES01DEL03,1/3/2022,23:10,2,1
0x930e,SURRES010DEL03,31-03-2022,19:15,1,3
0x8d4e,RANCHIRES11DEL02,11/3/2022,0.458333333,2,2
0xae5b,VADRES05DEL01,15-03-2022,16:25,3,2
0x4f12,MUMRES05DEL01,18-03-2022,22:20,2,0
0x298a,COIMBRES12DEL02,15-03-2022,10:25,2,3
0x7f37,PUNERES06DEL03,13-03-2022,18:20,3,1
0x3a0a,MYSRES06DEL01,21-03-2022,0.541666667,0,0
0xc46b,GOARES13DEL02,14-02-2022,22:30,2,0
0xc65e,ALHRES02DEL02,16-02-2022,17:45,3,2
0x2fa8,INDORES17DEL01,7/3/2022,14:20,0,1
0x413f,SURRES05DEL01,5/4/2022,12:10,0,2
0xa1e5,VADRES13DEL01,10/3/2022,0.916666667,1,3
0x8448,CHENRES14DEL02,23-03-2022,17:15,3,1
0x8fe4,MYSRES11DEL01,2/4/2022,17:40,3,3
0x162f,INDORES14DEL03,4/4/2022,17:10,3,1
0x8cc9,PUNERES14DEL03,25-03-2022,18:50,3,3
0x77cb,MYSRES07DEL02,1/3/2022,18:50,3,3
0x44d2,HYDRES05DEL02,23-03-2022,19:45,1,3
0x8750,RANCHIRES12DEL02,17-03-2022,20:30,1,0
0x2fda,JAPRES12DEL03,5/4/2022,17:25,3,1
0x513b,CHENRES07DEL03,26-03-2022,20:50,1,2
0x3e5f,RANCHIRES13DEL02,3/3/2022,21:30,1,0
0x8abc,COIMBRES08DEL01,23-03-2022,19:50,1,2
0x5c05,INDORES02DEL02,6/3/2022,19:25,1,0
0x5db1,MUMRES03DEL01,31-03-2022,19:25,1,3
0x34e0,MUMRES15DEL01,31-03-2022,18:55,3,0
0xbe30,MUMRES07DEL02,29-03-2022,17:25,3,2
0x69b3,MUMRES15DEL03,13-03-2022,18:20,3,2
0xd73e,KOLRES17DEL02,17-02-2022,9:10,2,1
0x9018,RANCHIRES13DEL03,11/3/2022,20:15,1,1
0x144c,BANGRES09DEL02,31-03-2022,19:35,1,2
0x8085,INDORES12DEL01,24-03-2022,12:30,0,1
0xc234,LUDHRES19DEL03,11/2/2022,19:20,1,3
0x1c42,PUNERES20DEL03,5/4/2022,19:15,1,3
0xe009,KNPRES16DEL03,15-02-2022,23:35,2,3
0xdc62,ALHRES16DEL03,16-02-2022,20:50,1,1
0xc5d0,LUDHRES02DEL02,11/2/2022,19:20,1,0
0x5575,RANCHIRES20DEL01,19-03-2022,9:35,2,3
0x4859,VADRES13DEL03,30-03-2022,20:50,1,3
0xc23b,LUDHRES07DEL02,17-02-2022,9:40,2,1
0x7e0a,HYDRES08DEL02,13-03-2022,8:30,2,1
0x59d0,MUMRES08DEL01,27-03-2022,20:50,1,3
0xe7e,HYDRES06DEL01,12/3/2022,23:30,2,2
0x4e8b,MYSRES02DEL02,2/4/2022,19:25,1,1
0x3013,RANCHIRES03DEL01,19-03-2022,9:50,2,2
0x4ff2,JAPRES15DEL03,6/3/2022,23:15,2,1
0x4137,MUMRES16DEL02,27-03-2022,23:30,2,3
0xd82a,AURGRES18DEL02,15-02-2022,9:30,2,1
0x5099,HYDRES13DEL03,21-03-2022,0.958333333,2,1
0x59c3,VADRES20DEL01,26-03-2022,10:55,2,2
0x8f41,MYSRES010DEL02,1/3/2022,10:45,2,0
0x818e,SURRES03DEL02,3/4/2022,19:40,1,3
0xca4a,KOCRES03DEL01,16-02-2022,18:35,3,1
0xbc1c,MYSRES19DEL03,7/3/2022,18:45,3,0
0x8636,VADRES16DEL01,5/3/2022,9:40,2,3
0xb0ae,MYSRES03DEL01,8/3/2022,22:55,2,2
0x7260,MYSRES03DEL01,28-03-2022,9:10,2,1
0x5081,BANGRES010DEL03,5/4/2022,19:35,1,3
0x4007,SURRES08DEL02,4/4/2022,17:20,3,3
0xa99d,HYDRES15DEL02,4/4/2022,20:10,1,2
0x9432,BANGRES20DEL01,6/4/2022,22:10,2,3
0x8cb7,JAPRES18DEL02,3/3/2022,23:40,2,1
0xa6dc,PUNERES11DEL01,23-03-2022,20:20,1,2
0xd793,KNPRES010DEL02,13-02-2022,18:25,3,2
0x32e3,CHENRES09DEL02,31-03-2022,20:55,1,3
0xb819,CHENRES04DEL01,4/4/2022,0.75,3,2
0xbad3,INDORES11DEL02,10/3/2022,23:10,2,1
0x7e87,MUMRES16DEL02,2/3/2022,17:30,3,2
0x2fab,JAPRES05DEL02,28-03-2022,8:15,2,1
0x73a9,COIMBRES05DEL02,14-03-2022,23:40,2,1
0x70f9,PUNERES16DEL01,23-03-2022,19:30,1,2
0x5644,JAPRES010DEL03,29-03-2022,17:15,3,0
0x1054,INDORES14DEL02,28-03-2022,8:55,2,0
0x349f,RANCHIRES20DEL02,14-03-2022,22:30,2,1
0xa51,PUNERES13DEL02,17-03-2022,21:55,1,1
0x76d3,SURRES02DEL01,26-03-2022,13:20,0,0
0x31d1,RANCHIRES18DEL02,17-03-2022,19:10,1,3
0x9eee,CHENRES19DEL02,1/3/2022,23:25,2,0
0xdd6b,AGRRES12DEL01,15-02-2022,16:35,3,0
0x6036,PUNERES04DEL01,20-03-2022,17:35,3,0
0xe1b7,AURGRES18DEL02,13-02-2022,8:35,2,0
0xc90d,LUDHRES13DEL02,16-02-2022,0.791666667,3,3
0xe130,ALHRES12DEL03,18-02-2022,22:45,2,1
0xbdf1,COIMBRES20DEL01,31-03-2022,22:40,2,2
0x5ac8,COIMBRES13DEL03,5/4/2022,23:40,2,0
0x6b26,SURRES18DEL01,20-03-2022,17:30,3,3
0x3e86,MYSRES03DEL02,23-03-2022,23:55,2,3
0x15e9,MUMRES11DEL01,29-03-2022,23:30,2,3
0xb1e7,MYSRES05DEL02,20-03-2022,17:25,3,0
0xda7a,KOLRES13DEL02,17-02-2022,10:45,2,3
0x1480,INDORES11DEL03,15-03-2022,20:55,1,1
0x4930,COIMBRES20DEL02,27-03-2022,22:55,2,0
0x440b,VADRES18DEL03,23-03-2022,20:30,1,3
0x9745,CHENRES01DEL02,27-03-2022,17:50,3,3
0xb5a7,SURRES04DEL02,12/3/2022,22:50,2,3
0x7d84,MUMRES12DEL03,5/4/2022,17:30,3,0
0x434c,INDORES17DEL01,8/3/2022,20:10,1,2
0x77a,JAPRES09DEL01,4/3/2022,17:20,3,3
0x9f29,COIMBRES04DEL01,20-03-2022,20:15,1,0
0xcaf8,AGRRES08DEL01,13-02-2022,0.583333333,0,2
0x224d,MUMRES03DEL01,2/4/2022,20:40,1,2
0x25cc,PUNERES07DEL03,28-03-2022,23:10,2,2
0x31f5,BANGRES08DEL01,11/3/2022,13:25,0,2
0x4558,PUNERES09DEL02,26-03-2022,23:50,2,3
0xb73c,RANCHIRES13DEL03,3/4/2022,22:30,2,0
0x852a,PUNERES16DEL01,3/4/2022,13:15,0,2
0x7ccb,RANCHIRES06DEL02,30-03-2022,23:25,2,2
0x7bfa,RANCHIRES18DEL03,24-03-2022,23:15,2,3
0x6fce,RANCHIRES11DEL01,2/3/2022,22:10,2,0
0x53fb,PUNERES15DEL02,21-03-2022,11:35,0,1
0x1abb,INDORES11DEL01,2/3/2022,22:15,2,1
0x37ab,RANCHIRES01DEL02,4/3/2022,0.916666667,1,2
0x7562,PUNERES02DEL02,18-03-2022,22:45,2,2
0x6fb0,JAPRES19DEL03,6/3/2022,22:20,2,3
0x8125,MUMRES02DEL01,23-03-2022,21:35,1,0
0x7ffe,MYSRES08DEL02,9/3/2022,21:15,1,0
0x9777,MYSRES04DEL01,3/3/2022,11:35,0,3
0x1de2,JAPRES09DEL03,23-03-2022,19:10,1,3
0x7b97,MUMRES06DEL01,7/3/2022,9:25,2,0
0x5fec,MUMRES20DEL02,5/4/2022,9:15,2,1
0x4d52,JAPRES15DEL01,29-03-2022,23:50,2,1
0x6a5b,RANCHIRES06DEL01,19-03-2022,8:55,2,1
0xbe1f,MYSRES19DEL02,8/3/2022,0.916666667,1,3
0x4c2e,RANCHIRES04DEL02,18-03-2022,20:20,1,1
0x4926,MUMRES06DEL01,6/3/2022,20:25,1,0
0x8f60,COIMBRES01DEL01,31-03-2022,23:10,2,3
0x8976,SURRES09DEL01,7/3/2022,15:20,3,0
0x69d1,MYSRES02DEL01,7/3/2022,11:15,0,3
0x943e,SURRES20DEL01,3/3/2022,0.416666667,2,3
0x6e5e,COIMBRES12DEL03,11/3/2022,19:10,1,3
0x13a7,COIMBRES08DEL03,23-03-2022,18:35,3,0
0xae96,CHENRES17DEL01,2/4/2022,19:55,1,0
0x808c,MYSRES19DEL01,29-03-2022,0.75,3,3
0x20a8,PUNERES04DEL01,10/3/2022,17:25,3,3
0xce17,KOCRES19DEL03,15-02-2022,22:25,2,1
0x20de,SURRES07DEL01,6/3/2022,17:20,3,1
0x8e76,PUNERES18DEL01,23-03-2022,20:10,1,1
0x705b,MYSRES02DEL01,4/3/2022,19:30,1,3
0x1bdc,PUNERES12DEL03,14-03-2022,18:25,3,2
0xabdb,RANCHIRES03DEL03,19-03-2022,20:40,1,1
0xc35a,ALHRES010DEL03,15-02-2022,0.875,1,2
0xc784,KOLRES05DEL02,16-02-2022,23:20,2,3
0xbbbe,INDORES19DEL02,5/3/2022,18:25,3,3
0x59f5,CHENRES04DEL02,2/3/2022,19:55,1,0
0x8df5,PUNERES15DEL01,14-03-2022,22:40,2,3
0xdb44,BHPRES06DEL02,14-02-2022,23:40,2,3
0x8265,PUNERES07DEL02,31-03-2022,18:20,3,2
0x48f8,VADRES08DEL02,30-03-2022,8:30,2,2
0xc1d2,DEHRES16DEL01,17-02-2022,15:55,3,1
0x1f28,CHENRES04DEL02,27-03-2022,20:15,1,2
0xb9c0,INDORES14DEL01,7/3/2022,16:25,3,3
0x3f33,COIMBRES08DEL01,12/3/2022,23:50,2,3
0xc767,DEHRES15DEL02,13-02-2022,11:35,0,3
0x7d5,HYDRES18DEL02,3/3/2022,10:35,2,1
0xe8e,PUNERES11DEL02,1/4/2022,18:30,3,3
0x87f8,PUNERES20DEL02,10/3/2022,0.958333333,2,3
0x1fef,VADRES06DEL02,4/3/2022,23:20,2,3
0x96e0,RANCHIRES07DEL02,4/3/2022,17:20,3,1
0x9778,JAPRES12DEL02,23-03-2022,23:35,2,3
0x641b,VADRES08DEL01,9/3/2022,13:55,0,1
0x62c0,COIMBRES20DEL03,1/4/2022,0.791666667,3,2
0x2806,RANCHIRES17DEL01,28-03-2022,16:55,3,0
0xe110,ALHRES18DEL03,17-02-2022,19:10,1,3
0x9c2c,BANGRES15DEL01,3/3/2022,15:20,3,2
0x3d79,RANCHIRES11DEL01,25-03-2022,23:10,2,0
0x5367,SURRES010DEL03,24-03-2022,21:25,1,3
0x57e8,COIMBRES05DEL03,11/3/2022,0.833333333,1,3
0x6e7f,PUNERES05DEL01,18-03-2022,19:25,1,1
0x76ac,CHENRES20DEL02,24-03-2022,8:50,2,3
0x99c5,HYDRES19DEL02,4/4/2022,19:35,1,1
0x35df,INDORES08DEL02,26-03-2022,18:35,3,0
0xaaa0,SURRES07DEL03,6/4/2022,17:50,3,0
0xa754,RANCHIRES010DEL02,4/4/2022,21:35,1,2
0x24b8,RANCHIRES08DEL01,27-03-2022,21:10,1,2
0x3a14,COIMBRES13DEL01,26-03-2022,9:45,2,0
0x12c4,JAPRES03DEL02,6/4/2022,22:55,2,0
0x6eb0,SURRES08DEL02,31-03-2022,23:50,2,1
0x26f3,INDORES14DEL02,6/4/2022,19:50,1,2
0x7947,VADRES13DEL01,23-03-2022,22:25,2,1
0x754a,SURRES04DEL03,3/3/2022,17:30,3,1
0x59ab,VADRES07DEL03,3/3/2022,21:50,1,2
0xb5e4,COIMBRES05DEL01,11/3/2022,16:55,3,1
0xd4fb,KOCRES19DEL02,16-02-2022,17:35,3,3
0xc9b0,AURGRES12DEL01,16-02-2022,21:15,1,1
0xa0e1,INDORES03DEL03,20-03-2022,19:30,1,3
0x4c7f,VADRES14DEL03,24-03-2022,21:10,1,0
0x175c,SURRES15DEL02,6/4/2022,23:10,2,0
0x53a7,BANGRES13DEL03,3/4/2022,21:45,1,1
0x8e57,RANCHIRES08DEL03,17-03-2022,21:20,1,3
0x75ca,CHENRES06DEL01,5/4/2022,8:40,2,1
0x67d9,MUMRES16DEL01,13-03-2022,9:20,2,2
0x2ed8,MUMRES010DEL01,2/4/2022,19:30,1,1
0x7c90,JAPRES20DEL01,3/3/2022,12:45,0,1
0x68cc,JAPRES16DEL02,6/4/2022,23:35,2,2
0x5fff,COIMBRES16DEL03,14-03-2022,19:40,1,3
0xa19e,RANCHIRES11DEL03,13-03-2022,19:20,1,1
0x469f,CHENRES15DEL03,23-03-2022,17:10,3,3
0x9047,BANGRES01DEL03,21-03-2022,17:30,3,0
0x3722,BANGRES11DEL02,10/3/2022,22:40,2,3
0xdad8,GOARES12DEL02,11/2/2022,9:15,2,0
0xa64f,PUNERES17DEL02,29-03-2022,17:50,3,2
0x82b5,INDORES12DEL03,10/3/2022,22:20,2,1
0xaafc,JAPRES010DEL01,19-03-2022,8:50,2,3
0x51a6,MUMRES18DEL03,31-03-2022,23:55,2,2
0x53c2,HYDRES20DEL03,11/3/2022,22:10,2,1
0x13e4,HYDRES17DEL01,2/3/2022,17:15,3,0
0xc5f4,KOLRES14DEL02,12/2/2022,19:40,1,1
0x88f0,HYDRES19DEL02,10/3/2022,22:50,2,0
0x3165,INDORES17DEL02,25-03-2022,22:20,2,0
0x2cd2,MUMRES08DEL01,12/3/2022,22:35,2,3
0x1fe8,SURRES03DEL03,26-03-2022,0.916666667,1,0
0xa5b7,INDORES04DEL01,5/4/2022,11:25,0,1
0x5892,BANGRES01DEL02,8/3/2022,20:35,1,2
0xc1ad,BHPRES06DEL03,15-02-2022,1,2,1
0x64f1,MUMRES13DEL02,16-03-2022,19:55,1,3
0xc322,AGRRES20DEL03,16-02-2022,22:20,2,3
0x297c,SURRES20DEL01,7/3/2022,16:20,3,0
0x6b0d,JAPRES07DEL02,3/4/2022,19:55,1,0
0xcd91,KOCRES04DEL01,13-02-2022,0.625,0,2
0x7bef,COIMBRES20DEL02,7/3/2022,20:55,1,0
0x255c,HYDRES06DEL03,1/3/2022,19:50,1,1
0xbbe4,VADRES07DEL01,1/4/2022,10:10,2,1
0x5138,MUMRES07DEL03,30-03-2022,23:20,2,2
0xe2e,MYSRES19DEL02,5/3/2022,9:15,2,2
0x64bc,MUMRES15DEL03,5/3/2022,18:10,3,0
0x3deb,VADRES12DEL01,11/3/2022,15:50,3,0
0x88e7,INDORES12DEL01,7/3/2022,13:55,0,2
0x5e32,PUNERES05DEL01,5/3/2022,15:20,3,0
0x8c6,MYSRES010DEL03,17-03-2022,19:55,1,1
0x977b,HYDRES01DEL03,19-03-2022,22:35,2,0
0x28c1,JAPRES03DEL03,9/3/2022,18:10,3,0
0x2796,CHENRES04DEL02,4/4/2022,20:55,1,2
0xcf69,DEHRES12DEL03,18-02-2022,17:55,3,3
0x5940,HYDRES12DEL02,10/3/2022,22:20,2,0
0x443d,VADRES15DEL03,30-03-2022,20:45,1,2
0x8691,CHENRES010DEL02,19-03-2022,8:40,2,0
0xb1dd,VADRES01DEL02,30-03-2022,17:25,3,0
0x8458,VADRES08DEL01,7/3/2022,8:25,2,3
0xc5a5,LUDHRES11DEL01,13-02-2022,10:45,2,3
0x422f,PUNERES12DEL02,7/3/2022,17:45,3,3
0x2de2,MUMRES06DEL01,2/3/2022,17:30,3,2
0xbd88,VADRES07DEL02,3/3/2022,9:20,2,1
0x98c3,RANCHIRES09DEL01,6/4/2022,21:50,1,2
0x7c25,CHENRES08DEL02,13-03-2022,11:10,0,3
0x692d,INDORES01DEL02,14-03-2022,17:25,3,1
